Buses Allocated,Schedules Allocated,Effective KM,Passengers,Estimated Diesel Litres,Estimated CO2 (Tonnes),Estimated EV Energy (MWh),Potential EV OPEX Saving (INR),Year,Month_Number,Passengers_per_Bus,Depot ID_KSRTC-002,Depot ID_KSRTC-003,Depot ID_KSRTC-004,Depot ID_KSRTC-005,Depot ID_KSRTC-006,Depot ID_KSRTC-007,Depot ID_KSRTC-008,Depot ID_KSRTC-009,Depot ID_KSRTC-010,Depot ID_KSRTC-011,Depot ID_KSRTC-012,Depot ID_KSRTC-013,Depot ID_KSRTC-014,Depot ID_KSRTC-015,Depot ID_KSRTC-016,Depot ID_KSRTC-017,Depot ID_KSRTC-018,Depot ID_KSRTC-019,Depot ID_KSRTC-020,Depot ID_KSRTC-021,Depot ID_KSRTC-022,Depot ID_KSRTC-023,Depot ID_KSRTC-024,Depot ID_KSRTC-025,Depot ID_KSRTC-026,Depot ID_KSRTC-027,Depot ID_KSRTC-028,Depot ID_KSRTC-029,Depot ID_KSRTC-030,Depot ID_KSRTC-031,Depot ID_KSRTC-032,Depot ID_KSRTC-033,Depot ID_KSRTC-034,Depot ID_KSRTC-035,Depot ID_KSRTC-036,Depot ID_KSRTC-037,Depot ID_KSRTC-038,Depot ID_KSRTC-039,Depot ID_KSRTC-040,Depot ID_KSRTC-041,Depot ID_KSRTC-042,Depot ID_KSRTC-043,Depot ID_KSRTC-044,Depot ID_KSRTC-045,Depot ID_KSRTC-046,Depot ID_KSRTC-047,Depot ID_KSRTC-048,Depot ID_KSRTC-049,Depot ID_KSRTC-050,Depot ID_KSRTC-051,Depot ID_KSRTC-052,Depot ID_KSRTC-053,Depot ID_KSRTC-054,Depot ID_KSRTC-055,Depot ID_KSRTC-056,Depot ID_KSRTC-057,Depot ID_KSRTC-058,Depot ID_KSRTC-059,Depot ID_KSRTC-060,Depot ID_KSRTC-061,Depot ID_KSRTC-062,Depot ID_KSRTC-063,Depot ID_KSRTC-064,Depot ID_KSRTC-065,Depot ID_KSRTC-066,Depot ID_KSRTC-067,Depot ID_KSRTC-068,Depot ID_KSRTC-069,Depot ID_KSRTC-070,Depot ID_KSRTC-071,Depot ID_KSRTC-072,Depot ID_KSRTC-073,Depot ID_KSRTC-074,Depot ID_KSRTC-075,Depot ID_KSRTC-076,Depot ID_KSRTC-077,Depot ID_KSRTC-078,Depot ID_KSRTC-079,Depot ID_KSRTC-080,Depot ID_KSRTC-081,Depot ID_KSRTC-082,Depot ID_KSRTC-083,Depot ID_KSRTC-084,Depot ID_KSRTC-085,Depot ID_KSRTC-086,Depot ID_KSRTC-087,Depot ID_KSRTC-088,Depot ID_KSRTC-089,Depot ID_KSRTC-090,Depot ID_KSRTC-091,Depot ID_KSRTC-092,District_Ernakulam,District_Idukki,District_Kannur,District_Kasaragod,District_Kollam,District_Kottayam,District_Kozhikode,District_Malappuram,District_Palakkad,District_Pathanamthitta,District_Thiruvananthapuram,District_Thrissur,District_Wayanad,EV Suitability Score
30,24,129270,163058,31679.94118367847,84.9022423722583,162,3102480,2021,4,5435.266666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.481
30,24,129616,167645,31764.734713883103,85.12948903320671,162,3110784,2021,5,5588.166666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4895
30,24,132462,173043,32462.19826001716,86.998691336846,166,3179088,2021,6,5768.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4914
31,25,140413,187995,34410.73397867908,92.22076706285996,176,3369912,2021,7,6064.354838709677,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4958
30,23,126289,162371,30949.393456684236,82.94437446391375,158,3030936,2021,8,5412.366666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4895
29,23,120244,154173,29467.95735816689,78.97412571988728,150,2885856,2021,9,5316.310344827586,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4925
30,24,127629,162903,31277.7845852224,83.82446268839604,160,3063096,2021,10,5430.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4861
30,24,128949,162251,31601.274353633136,84.69141526773682,161,3094776,2021,11,5408.366666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4803
30,23,124500,164207,30510.966793285137,81.76939100600417,156,2988000,2021,12,5473.566666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4997
30,24,129638,170449,31770.12621002328,85.14393824286239,162,3111312,2022,1,5681.633333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4954
31,26,143156,180596,35082.955520156844,94.02232079402036,179,3435744,2022,2,5825.677419354839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4731
30,23,125530,163942,30763.38683984806,82.4458767307928,157,3012720,2022,3,5464.733333333334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.4955
29,25,229637,331606,56276.68177919373,150.82150716823918,287,5511288,2022,4,11434.689655172413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3782
