Depot_ID,Depot_Name,District,Year,Month_Number,Month,Buses Allocated,Schedules Allocated,Passengers,Estimated Diesel Litres,Estimated CO2 (Tonnes),Effective KM,Observed Year Effective KM,Estimated EV Energy (MWh),Potential EV OPEX Saving (INR),Diesel Cost (INR/km),EV Cost (INR/km),Diesel Efficiency (km/litre),EV Energy Consumption (kWh/km),Passengers_per_Bus,Diesel_Litres_per_Bus,Diesel_Litres_per_Schedule,CO2_per_Bus_Tonnes,Terrain_Class,Terrain_Score
KSRTC-001,Thiruvananthapuram Central (Thampanoor),Thiruvananthapuram,2021,4,April,338,18.07,732461,290935.33,779.707,1187016.15,10607259.6,1483.77,28488387.37,51,27,4.08,1.25,2167.044379,860.7554142,16100.46099,2.306825444,Rolling,0.75
KSRTC-001,Thiruvananthapuram Central (Thampanoor),Thiruvananthapuram,2021,5,May,347,18.6,737861,287359.42,770.123,1172426.43,10607259.6,1465.533,28138234.45,51,27,4.08,1.25,2126.400576,828.1251297,15449.43118,2.21937464,Rolling,0.75
KSRTC-001,Thiruvananthapuram Central (Thampanoor),Thiruvananthapuram,2021,6,June,329,17.24,711768,275016.24,737.044,1122066.26,10607259.6,1402.583,26929590.34,51,27,4.08,1.25,2163.428571,835.9156231,15952.2181,2.240255319,Rolling,0.75
KSRTC-001,Thiruvananthapuram Central (Thampanoor),Thiruvananthapuram,2021,7,July,340,16.25,647049,258888.52,693.821,1056265.16,10607259.6,1320.331,25350364.04,51,27,4.08,1.25,1903.085294,761.4368235,15931.60123,2.04065,Rolling,0.75
KSRTC-001,Thiruvananthapuram Central (Thampanoor),Thiruvananthapuram,2021,8,August,337,18.86,766230,297329.34,796.843,1213103.71,10607259.6,1516.38,29114489.03,51,27,4.08,1.25,2273.679525,882.282908,15765.07635,2.364519288,Rolling,0.75
KSRTC-001,Thiruvananthapuram Central (Thampanoor),Thiruvananthapuram,2021,9,September,347,18.67,770063,296701.54,795.16,1210542.28,10607259.6,1513.178,29053015.0,51,27,4.08,1.25,2219.201729,855.0476657,15891.88752,2.291527378,Rolling,0.75
KSRTC-001,Thiruvananthapuram Central (Thampanoor),Thiruvananthapuram,2021,10,October,337,18.79,767004,305770.73,819.466,1247544.58,10607259.6,1559.431,29941070.3,51,27,4.08,1.25,2275.976261,907.331543,16273.05641,2.431649852,Rolling,0.75
KSRTC-001,Thiruvananthapuram Central (Thampanoor),Thiruvananthapuram,2021,11,November,355,18.53,774720,297685.8,797.798,1214558.06,10607259.6,1518.198,29149394.03,51,27,4.08,1.25,2182.309859,838.5515493,16065.07285,2.24731831,Rolling,0.75
KSRTC-001,Thiruvananthapuram Central (Thampanoor),Thiruvananthapuram,2021,12,December,341,17.88,719042,290131.61,777.553,1183736.97,10607259.6,1479.671,28409687.35,51,27,4.08,1.25,2108.627566,850.8258358,16226.60011,2.280214076,Rolling,0.75
KSRTC-002,Thiruvananthapuram City (East Fort),Thiruvananthapuram,2021,4,April,112,8.29,146462,101436.61,271.85,413861.37,3811042.37,517.327,9932672.99,51,27,4.08,1.25,1307.696429,905.6840179,12236.02051,2.427232143,Flat,1.0
KSRTC-002,Thiruvananthapuram City (East Fort),Thiruvananthapuram,2021,5,May,123,8.38,142368,105408.76,282.495,430067.74,3811042.37,537.585,10321625.45,51,27,4.08,1.25,1157.463415,856.9817886,12578.61098,2.296707317,Flat,1.0
KSRTC-002,Thiruvananthapuram City (East Fort),Thiruvananthapuram,2021,6,June,122,8.0,137290,100646.77,269.733,410638.82,3811042.37,513.299,9855331.66,51,27,4.08,1.25,1125.327869,824.9735246,12580.84625,2.21092623,Flat,1.0
KSRTC-002,Thiruvananthapuram City (East Fort),Thiruvananthapuram,2021,7,July,122,7.45,126412,93652.48,250.989,382102.12,3811042.37,477.628,9170450.92,51,27,4.08,1.25,1036.163934,767.6432787,12570.80268,2.057286885,Flat,1.0
KSRTC-002,Thiruvananthapuram City (East Fort),Thiruvananthapuram,2021,8,August,121,8.09,148711,105886.19,283.775,432015.66,3811042.37,540.02,10368375.91,51,27,4.08,1.25,1229.016529,875.0924793,13088.52781,2.345247934,Flat,1.0
KSRTC-002,Thiruvananthapuram City (East Fort),Thiruvananthapuram,2021,9,September,117,8.7,159152,109177.46,292.596,445444.04,3811042.37,556.805,10690656.63,51,27,4.08,1.25,1360.273504,933.1406838,12549.13333,2.500820513,Flat,1.0
KSRTC-002,Thiruvananthapuram City (East Fort),Thiruvananthapuram,2021,10,October,123,8.6,156940,114740.99,307.506,468143.24,3811042.37,585.179,11235437.85,51,27,4.08,1.25,1275.934959,932.8535772,13341.97558,2.50004878,Flat,1.0
KSRTC-002,Thiruvananthapuram City (East Fort),Thiruvananthapuram,2021,11,November,121,8.5,148876,104048.36,278.85,424517.31,3811042.37,530.647,10188415.04,51,27,4.08,1.25,1230.380165,859.9038017,12240.98353,2.304545455,Flat,1.0
KSRTC-002,Thiruvananthapuram City (East Fort),Thiruvananthapuram,2021,12,December,123,8.54,146745,99081.39,265.538,404252.07,3811042.37,505.315,9702049.89,51,27,4.08,1.25,1193.04878,805.5397561,11602.0363,2.158845528,Flat,1.0
KSRTC-003,Vikas Bhavan,Thiruvananthapuram,2021,4,April,96,6.57,226784,35405.66,94.887,144455.09,1304349.24,180.569,3466922.31,51,27,4.08,1.25,2362.333333,368.8089583,5388.989346,0.98840625,Flat/Rolling,0.9
KSRTC-003,Vikas Bhavan,Thiruvananthapuram,2021,5,May,95,6.77,237112,36189.09,96.987,147651.49,1304349.24,184.564,3543635.64,51,27,4.08,1.25,2495.915789,380.9377895,5345.508124,1.020915789,Flat/Rolling,0.9
KSRTC-003,Vikas Bhavan,Thiruvananthapuram,2021,6,June,96,6.17,203923,33413.6,89.548,136327.49,1304349.24,170.409,3271859.38,51,27,4.08,1.25,2124.197917,348.0583333,5415.494327,0.932791667,Flat/Rolling,0.9
KSRTC-003,Vikas Bhavan,Thiruvananthapuram,2021,7,July,92,6.14,204942,33691.42,90.293,137460.99,1304349.24,171.826,3299064.16,51,27,4.08,1.25,2227.630435,366.211087,5487.201954,0.981445652,Flat/Rolling,0.9
