Depot ID,Depot Name,District,Month,Buses Allocated,Schedules Allocated,Effective KM,Passengers,Estimated Diesel Litres,Estimated CO2 (Tonnes),Diesel Cost (INR/KM),EV Cost (INR/KM),Estimated EV Energy (MWh),Potential EV OPEX Saving (INR),EV Battery Capacity (kWh),EV Range (KM),Charging Power (kW),Electricity Tariff (INR/kWh),EV Suitability Score,Year
KSRTC-001,ADOOR,Pathanamthitta,2021-04,30,24,129270,163058,31679.94118367847,84.9022423722583,51,27,162,3102480,250,200,120,8,0.481,2021
KSRTC-001,ADOOR,Pathanamthitta,2021-05,30,24,129616,167645,31764.734713883103,85.12948903320671,51,27,162,3110784,250,200,120,8,0.4895,2021
KSRTC-001,ADOOR,Pathanamthitta,2021-06,30,24,132462,173043,32462.198260017158,86.998691336846,51,27,166,3179088,250,200,120,8,0.4914,2021
KSRTC-001,ADOOR,Pathanamthitta,2021-07,31,25,140413,187995,34410.73397867908,92.22076706285995,51,27,176,3369912,250,200,120,8,0.4958,2021
KSRTC-001,ADOOR,Pathanamthitta,2021-08,30,23,126289,162371,30949.393456684233,82.94437446391375,51,27,158,3030936,250,200,120,8,0.4895,2021
KSRTC-001,ADOOR,Pathanamthitta,2021-09,29,23,120244,154173,29467.957358166892,78.97412571988728,51,27,150,2885856,250,200,120,8,0.4925,2021
KSRTC-001,ADOOR,Pathanamthitta,2021-10,30,24,127629,162903,31277.7845852224,83.82446268839604,51,27,160,3063096,250,200,120,8,0.4861,2021
KSRTC-001,ADOOR,Pathanamthitta,2021-11,30,24,128949,162251,31601.274353633136,84.69141526773682,51,27,161,3094776,250,200,120,8,0.4803,2021
KSRTC-001,ADOOR,Pathanamthitta,2021-12,30,23,124500,164207,30510.966793285137,81.76939100600417,51,27,156,2988000,250,200,120,8,0.4997,2021
KSRTC-001,ADOOR,Pathanamthitta,2022-01,30,24,129638,170449,31770.12621002328,85.14393824286239,51,27,162,3111312,250,200,120,8,0.4954,2022
KSRTC-001,ADOOR,Pathanamthitta,2022-02,31,26,143156,180596,35082.955520156844,94.02232079402035,51,27,179,3435744,250,200,120,8,0.4731,2022
