Depot_ID,Depot_Name,District,Avg_EV_Suitability,Avg_Operational_Intensity,Avg_Passenger_Demand,Avg_Terrain_Score,Avg_Buses,Avg_Schedules,Avg_Passengers,Avg_Effective_KM,Total_Diesel_Litres,Total_CO2_Tonnes,Total_OPEX_Saving_INR,Total_EV_Energy_MWh,Terrain_Class,Annual_OPEX_Saving_INR,Annual_CO2_Avoided_Tonnes,Annual_EV_Energy_MWh,ML_Dominant_Category,EV_Suitable_Pct,Conditional_Pct,Diesel_Preferred_Pct
KSRTC-001,Thiruvananthapuram Central (Thampanoor),Thiruvananthapuram,0.8501990791062802,0.9942057669082126,0.6769873188405797,0.75,368.46666666666664,22.887,1179494.8166666667,1567387.4211666666,23049815.02,61773.507,2257037889.22,117554.056,Rolling,376172981.53666663,10295.584499999999,19592.342666666667,EV Suitable,100.0,0.0,0.0
KSRTC-002,Thiruvananthapuram City (East Fort),Thiruvananthapuram,0.700651434178744,0.881887832125604,0.19902506038647344,1.0,126.81666666666666,10.156833333333333,232401.35,551928.1024999999,8116589.74,21752.463,794776470.07,41394.613,Flat,132462745.01166667,3625.4105,6899.102166666667,EV Suitable,76.66666666666667,23.333333333333332,0.0
KSRTC-003,Vikas Bhavan,Thiruvananthapuram,0.5735007850241547,0.4463327294685991,0.5677814009661836,0.9,99.78333333333333,7.985333333333333,367298.76666666666,192738.0715,2834383.41,7596.148,277542824.9,14455.354,Flat/Rolling,46257137.48333333,1266.0246666666667,2409.2256666666667,Conditional,1.6666666666666667,83.33333333333334,15.0
KSRTC-004,Pappananamcode,Thiruvananthapuram,0.5448446180555556,0.4007499245169083,0.5482321859903382,0.9,73.46666666666667,5.863166666666667,288960.25,226066.226,3324503.32,8909.666,325535365.8,16954.965,Flat/Rolling,54255894.300000004,1484.9443333333331,2825.8275,Conditional,0.0,75.0,25.0
KSRTC-005,Peroorkada,Thiruvananthapuram,0.5790466485507246,0.40101177536231886,0.661802536231884,0.9,68.08333333333333,5.464333333333333,317095.2833333333,238868.27516666666,3512768.7600000002,9414.216,343970319.56,17915.122,Flat/Rolling,57328386.593333334,1569.036,2985.8536666666664,Conditional,5.0,78.33333333333333,16.666666666666664
KSRTC-006,Vizhinjam,Thiruvananthapuram,0.3697969957729469,0.14464960748792272,0.3915739734299517,0.9,52.78333333333333,3.6991666666666663,184843.15,171050.51750000002,2515448.79,6741.406,246312745.97,12828.787,Flat/Rolling,41052124.32833333,1123.5676666666666,2138.1311666666666,Diesel Preferred,0.0,0.0,100.0
KSRTC-007,Neyyattinkara,Thiruvananthapuram,0.46935829559178743,0.4105769172705314,0.2802327898550725,0.9,117.18333333333334,3.7078333333333333,184544.38333333333,223382.17866666667,3285032.03,8803.885,321670334.22,16753.664,Flat/Rolling,53611722.370000005,1467.3141666666668,2792.2773333333334,Conditional,0.0,78.33333333333333,21.666666666666668
KSRTC-008,Parassala,Thiruvananthapuram,0.3739602355072464,0.38651721014492757,0.10233876811594203,0.75,91.68333333333334,7.129666666666666,164823.18333333332,179315.9305,2636998.97,7067.156,258214940.32999998,13448.695,Rolling,43035823.38833333,1177.8593333333333,2241.4491666666668,Diesel Preferred,0.0,1.6666666666666667,98.33333333333333
KSRTC-009,Nedumangad,Thiruvananthapuram,0.6820451992753623,0.5200566123188406,0.80672297705314,0.9,101.66666666666667,5.3469999999999995,480846.9,253626.50083333335,3729801.49,9995.865,365222159.38,19021.988,Flat/Rolling,60870359.89666667,1665.9775,3170.3313333333335,EV Suitable,76.66666666666667,23.333333333333332,0.0
KSRTC-010,Aryanad,Thiruvananthapuram,0.6774167874396135,0.5919833937198068,0.6047503019323671,1.0,46.916666666666664,6.670166666666666,284394.2166666667,406933.64900000003,5984318.37,16037.975,585984455.01,30520.023,Flat,97664075.835,2672.9958333333334,5086.6705,EV Suitable,71.66666666666667,28.333333333333332,0.0
