Depot ID,Effective KM,Passengers,Buses Allocated,Schedules Allocated,Estimated CO2 (Tonnes),Estimated EV Energy (MWh),Potential EV OPEX Saving (INR),Terrain_Score,Predicted_2026_Priority,Probability_Conditional,Probability_Defer_Diesel,Probability_EV Priority,Depot Name,District,Prediction_Confidence,OPEX_Saving_Score,CO2_Reduction_Per_Bus,CO2_Reduction_Score,ML_Suitability_Score,Terrain_Suitability_Score,Transition_Priority_Score,Transition_Rank,Final_Transition_Category,Max_EV_Buses,OPEX_Saving_Per_Bus,Allocation_Benefit_Score,Eligible_for_EV,Max_EV_Allocation,Benefit_Per_EV,Optimized_EV_Buses,Diesel_Buses_After_Transition,EV_Investment_INR,Expected_Annual_OPEX_Saving_INR,Expected_Annual_CO2_Reduction_Tonnes
KSRTC-024,7837632,10640031,94.41666666666667,85.66666666666667,5147.617635093739,9797,188103168,0.9,EV Priority,0.0028416006473834334,1.4236281204326176e-06,0.9971569757244961,KANNUR,Kannur,0.9971569757244961,1.0,54.5202220839584,0.45328454307433086,0.9971569757244961,0.9,0.8795196989046646,1,High Priority,94,1992266.563106796,1752237.6877215202,True,23,0.8795196989046646,23,71,276000000,45822130.95145631,1253.9651079310433
KSRTC-032,7465082,10134271,89.83333333333333,84.08333333333333,4902.933405219949,9330,179161968,0.9,EV Priority,0.006902594432346897,3.894969287848897e-06,0.9930935105983651,KOLLAM,Kollam,0.9930935105983651,0.9318451532125712,54.57810840690111,0.5246668439499921,0.9930935105983651,0.9,0.8717243189931158,2,High Priority,90,1994381.8330241188,1738551.1452051918,True,22,0.8717243189931158,22,68,264000000,43876400.32653061,1200.7183849518244
KSRTC-026,6274632,8518169,75.41666666666667,68.16666666666667,4121.066967283422,7845,150591168,0.9,EV Priority,0.05842856190064495,0.00021462374804054408,0.9413568143513146,KASARGODE,Kasaragod,0.9413568143513146,0.7140624734163168,54.643981886631,0.6058984771020945,0.9413568143513146,0.9,0.8019411631858397,3,High Priority,75,1996788.967955801,1601307.2675991275,True,18,0.8019411631858397,18,57,216000000,35942201.423204415,983.5916739593581
KSRTC-022,6284264,8531243,75.58333333333333,68.16666666666667,4127.393093983581,7857,150822336,0.9,EV Priority,0.056565816297075085,0.00020876962695413507,0.9432254140759707,KANGANGAD,Kasaragod,0.9432254140759707,0.7158245657106572,54.607185366927204,0.5605229875711139,0.9432254140759707,0.9,0.7941421328578082,4,High Priority,76,1995444.35722161,1584666.4378430475,True,19,0.7941421328578082,19,57,228000000,37913442.78721059,1037.5365219716168
KSRTC-037,6725522,9130277,81.08333333333333,71.33333333333333,4417.203519176572,8407,161412528,0.75,EV Priority,0.07607092428658133,0.001431995867760889,0.9224970798456578,KOTTAYAM,Kottayam,0.9224970798456578,0.7965489554133206,54.477330144007055,0.40039250904794926,0.9224970798456578,0.75,0.7630420203718491,5,High Priority,81,1990699.214799589,1518987.150813332,True,20,0.7630420203718491,18,63,216000000,35832585.866392605,980.591942592127
KSRTC-063,5799980,7873803,69.83333333333333,63.5,3809.3239553976236,7250,139199520,0.9,EV Priority,0.1367514512233949,0.0008495748944092575,0.8623989738821959,PAYYANNUR,Kannur,0.8623989738821959,0.6272289360727478,54.54879172407099,0.48851508705696456,0.8623989738821959,0.9,0.7208312877860955,6,High Priority,70,1993310.5489260145,1436840.609939948,True,17,0.7208312877860955,0,70,0,0.0,0.0
KSRTC-075,5799584,7873267,69.83333333333333,63.416666666666664,3809.063869623821,7249,139190016,0.9,EV Priority,0.13622723781622653,0.0008562108684387341,0.8629165513153347,THALASSERY,Kannur,0.8629165513153347,0.6271564912483543,54.545067345448516,0.48392238360148143,0.8629165513153347,0.9,0.7200980446209365,7,High Priority,70,1993174.4534606207,1435281.0265253969,True,17,0.7200980446209365,0,70,0,0.0,0.0
KSRTC-002,5325382,7229509,64.08333333333333,60.25,3497.616409753707,6658,127809168,1.0,EV Priority,0.15850565194779404,0.00037266817448212557,0.8411216798777238,ALAPPUZHA,Alappuzha,0.8411216798777238,0.5404052775688688,54.57918974908256,0.5260002969838328,0.8411216798777238,1.0,0.7037703146185167,8,High Priority,64,1994421.3472041613,1403614.5390037585,True,16,0.7037703146185167,0,64,0,0.0,0.0
KSRTC-062,5538467,7518781,66.58333333333333,62.333333333333336,3637.566857002819,6925,132923208,0.9,EV Priority,0.22872808842034772,0.001553158450573989,0.7697187531290782,PATHANAPURAM,Kollam,0.7697187531290782,0.579387361927208,54.63179259578702,0.5908672990577154,0.7697187531290782,0.9,0.6898771696413367,9,Medium Priority,67,1996343.5494367962,1377231.837517197,True,16,0.6898771696413367,0,67,0,0.0,0.0
KSRTC-009,5511551,7482244,66.33333333333333,61.833333333333336,3619.8889057713523,6889,132277224,0.9,EV Priority,0.23367514318907906,0.0016941933576897416,0.7646306634532312,CHATHANOOR,Kollam,0.7646306634532312,0.5744633091661546,54.5711895342415,0.5161348622174927,0.7646306634532312,0.9,0.6714182305746373,10,Medium Priority,66,1994129.0050251258,1338894.568091532,True,16,0.6714182305746373,0,66,0,0.0,0.0
